id,category
7945,Web/Tech
8048,Web/Tech
8071,Web/Tech
8418,Web/Tech
8583,Web/Tech
8698,Current Affairs
8698,Economics
8723,Economics
8872,Books
8920,Books
10299,Web/Tech
10469,Web/Tech
10592,Web/Tech
10667,Web/Tech
14484,Web/Tech
14458,Web/Tech
19937,Current Affairs
19937,Religion
20006,Economics
